PF26733	27
PF10417	21.1
PF21734	27
PF21578	27
PF12574	25
PF09847	29
PF26127	27
PF00244	33.2
PF16998	26.6
PF28546	22
PF28545	27
PF00389	24.6
PF02826	25.1
PF00198	23
PF16078	27
PF04029	26.4
PF04463	34.7
PF27735	28
PF16620	25
PF05635	33.8
PF20758	27
PF22545	27
PF22546	27
PF08521	23.2
PF08793	22
PF20150	24.8
PF11591	25
PF01257	24.8
PF08975	21
PF22547	27
PF03390	26.2
PF21584	27
PF03171	23
PF13532	31.2
PF13640	27
PF13661	27
PF13759	27
PF20515	27
PF10014	23.1
PF13239	22.9
PF23143	27
PF13563	27
PF06983	24
PF06052	25
PF12578	23.3
PF17644	25
PF11330	27
PF00803	25
PF01073	22
PF06725	23.8
PF02829	25
PF22951	27
PF10605	26.4
PF25869	26.2
PF00725	22.1
PF02737	22
PF18321	23.6
PF29288	27
PF06439	26.8
PF16121	27
PF16122	25
PF17947	26.1
PF03061	20.6
PF13279	25.5
PF13622	24.3
PF20789	24.1
PF23313	27
PF12729	27
PF26249	25
PF04476	22.4
PF18671	27
PF17837	27
PF28548	35
PF05902	25
PF01812	27
PF06189	28.2
PF09038	22
PF21432	27.2
PF03491	23
PF07694	24.6
PF25221	25.2
PF01367	40
PF02739	34.3
PF05761	28.5
PF02872	23.6
PF02096	35
PF27023	60
PF01591	27
PF00393	27
PF22242	27
PF27505	28.3
PF23022	27
PF23021	27
PF25323	25
PF02294	25
PF07698	29.4
PF07696	22
PF07695	29
PF07697	27.6
PF00001	30.5
PF00002	20.6
PF00003	33.5
PF13853	27
PF02949	25.8
PF08395	26.6
PF30597	32
PF02117	24
PF10292	21
PF02175	21.7
PF10316	22
PF10317	22.8
PF10318	26.3
PF10327	23
PF10319	24.1
PF10320	24.1
PF10321	23
PF10322	26
PF10323	21
PF10324	22.2
PF10328	23.8
PF10325	22
PF10326	22.4
PF14402	25
PF17028	24.6
PF24838	30
PF07388	23.3
PF21585	27
PF23925	27.6
PF07966	20.5
PF06750	23
PF08792	22.9
PF00207	21
PF21142	25.5
PF07703	22.7
PF07677	21.7
PF26967	27
PF30213	27
PF21631	27
PF22430	26
PF03443	27.8
PF00004	21.2
PF09820	26.1
PF12846	27.5
PF13086	27
PF13087	27
PF13166	36
PF13173	27
PF13175	32.1
PF13191	32.6
PF13207	27
PF13238	29.4
PF13245	25.1
PF07724	27
PF13304	27
PF13401	27
PF13476	27
PF13479	27
PF13481	27
PF13500	27
PF13514	22
PF13521	27
PF13555	27
PF07726	27
PF13604	27
PF13614	27
PF13654	21
PF13671	27
PF13872	27
PF14516	27
PF07728	22
PF12774	25.2
PF12775	25.8
PF12780	25.6
PF12781	27.4
PF14363	26.4
PF16193	34.3
PF09821	27.6
PF29203	27
PF29202	27
PF17857	21.3
PF17872	23.2
PF18198	31
PF21396	27
PF23232	27
PF25601	27
PF17863	22.7
PF17862	27.2
PF17864	27
PF17865	22.7
PF17866	24.3
PF17867	22.7
PF17868	22.8
PF17871	22.8
PF25568	27
PF25426	27
PF25408	27
PF23902	34
PF25361	34.9
PF26587	30.7
PF25520	29.1
PF23242	26.6
PF08298	25
PF30695	27
PF30686	27
PF30694	30
PF30683	27
PF30684	27
PF30685	27
PF26341	27
PF30483	27
PF30482	27
PF13427	22.2
PF28992	27
PF28991	27
PF04611	32.1
PF03306	25
PF26791	24.1
PF05282	23.6
PF20981	23.6
PF08142	23.8
PF22624	27
PF03417	23.2
PF07247	22
PF13339	24.7
PF00696	24.9
PF00324	24.6
PF13520	27
PF13906	27
PF08403	21
PF06684	27
PF01490	25.6
PF28841	27
PF14108	27
PF07336	24.4
PF12430	22.1
PF02496	25
PF14156	27.7
PF26999	27
PF00950	20.1
PF26919	27
PF03109	22.9
PF30507	27
PF30649	27
PF30499	27
PF01061	26.9
PF12679	27.2
PF12698	31.6
PF12730	27
PF13346	25
PF06182	22
PF19055	22.7
PF25158	27
PF24526	34.8
PF24358	26
PF21707	27.5
PF09818	23.2
PF21709	27
PF09819	25.2
PF16962	29.7
PF31118	27
PF00664	21.7
PF06472	24.4
PF13748	27
PF20446	26.5
PF04392	25.9
PF20220	27
PF00005	25
PF09822	34.7
PF03886	26
PF06541	25.9
PF14510	25.4
PF16949	25.7
PF16326	32
PF31170	27
PF31115	27
PF12848	25.9
PF12407	25
PF31081	27
PF05270	22.8
PF18225	27.7
PF03806	27
PF22990	27
PF09752	21
PF22316	27
PF00561	25.8
PF20091	23
PF20408	27
PF02230	23
PF07859	25
PF08386	21
PF12695	27
PF12697	26.3
PF12715	21
PF06259	20.5
PF10081	26
PF15420	27
PF04083	27
PF27594	27
PF08843	22.5
PF09407	22.2
PF09952	21
PF11459	26
PF17194	26
PF13338	25
PF10899	22.4
PF16873	25
PF20578	27
PF14253	30.9
PF18860	27
PF18863	34
PF18865	27.8
PF18864	27.6
PF07751	25.6
PF14337	29
PF14355	27
PF07815	27
PF16182	29
PF03992	20.9
PF21931	27
PF31202	27
PF09441	25
PF22224	27
PF30423	27
PF30422	27
PF27030	29.9
PF28709	27
PF28708	27
PF28710	27
PF28707	27
PF28763	27
PF05145	29.2
PF14250	25
PF18277	22.8
PF27760	27
PF26147	26.9
PF07280	27
PF20520	25
PF05814	22.5
PF05820	27
PF08965	23.8
PF08900	27
PF21343	27.8
PF20963	27
PF16177	27
PF13000	23.7
PF23474	27
PF24729	27
PF25187	27
PF26761	23
PF00887	28.3
PF24922	31.2
PF05528	27
PF03255	23
PF21385	27
PF08326	23.2
PF13822	25
PF16671	27
PF14733	22
PF22217	27
PF09317	25
PF28347	27
PF28329	27
PF21556	27
PF06315	29.3
PF20423	25
PF00871	22
PF09290	26.6
PF08882	21
PF02550	24
PF13336	23.7
PF00583	20.7
PF13673	23.6
PF13720	24.5
PF13880	22.8
PF03421	27.8
PF17013	35
PF05301	27
PF17668	25
PF18014	22.7
PF18015	23.8
PF00797	22.8
PF13302	25.4
PF13420	24.3
PF13444	22.4
PF13480	22
PF13508	27
PF13523	27
PF13527	25
PF14542	30
PF28828	27
PF30473	27
PF26759	26
PF30472	27
PF08674	25
PF15270	27
PF29351	28.4
PF03767	27
PF12689	27
PF28205	27
PF29063	27
PF28912	27
PF28338	27
PF26144	23.5
PF30266	27
PF05054	25
PF07138	27
PF06648	27
PF05815	27
PF06856	22
PF07134	27
PF05081	27
PF04412	31.5
PF28403	31.5
PF28406	33
PF01989	27
PF00330	28.7
PF06434	27
PF11791	25.8
PF00694	22.8
PF01756	22.1
PF31116	27
PF22924	27
PF06857	25.1
PF05777	25
PF06313	25
PF01648	25
PF04336	27
PF23297	27
PF08545	24
PF08541	26.6
PF24914	27
PF20829	30.5
PF30848	27
PF25704	27
PF21401	27
PF25703	27
PF25699	27
PF22147	27
PF28100	27
PF26151	25.4
PF24304	27
PF28149	27
PF26125	24.8
PF10766	26.2
PF00873	28
PF19436	25
PF01842	27
PF09192	24
PF28342	26
PF05058	23.8
PF11821	25.7
PF00976	15.4
PF00022	27
PF14408	25
PF17003	45
PF11657	28.1
PF11498	23.3
PF01064	25
PF16840	27
PF21646	27
PF26798	27
PF26946	27
PF26954	27
PF26955	27
PF10000	25
PF13291	27
PF13710	27
PF13740	23
PF13840	27
PF19571	23.5
PF22468	27
PF24931	27
PF24926	27.4
PF26956	27
PF22629	27
PF24021	27
PF21086	24
PF26539	28.3
PF28827	27
PF18859	27.1
PF01643	23.7
PF20791	21
PF21263	27
PF00441	22.4
PF08028	22.7
PF12806	30.3
PF02770	33.3
PF02771	22.9
PF14749	25
PF12590	22
PF12186	27
PF00708	22.5
PF01553	23
PF19576	27
PF16076	26.5
PF02551	21
PF28265	27
PF00698	32.7
PF02273	20.3
PF01757	31
PF18883	27.1
PF16214	30.9
PF09793	23.4
PF10198	24.5
PF21299	28
PF16698	26.2
PF24484	27
PF23178	27
PF17771	27.3
PF19236	21
PF05986	23.6
PF08516	29.4
PF10199	32
PF01602	37
PF00928	31.6
PF02805	23
PF06314	29.8
PF06327	21.1
PF27467	20
PF21445	26.6
PF18724	26.2
PF17981	25.7
PF17980	26
PF13382	27
PF03352	25
PF04008	25
PF27706	27
PF02438	25
PF03052	25
PF02703	27
PF01691	25
PF01696	24.5
PF04623	25
PF06040	25
PF05248	25.2
PF03376	25
PF04834	28.7
PF03307	35
PF02440	26
PF02439	36
