f_id,current_name,correct_name,pfam_acc,introduced_release
5076.1.1.4,PF29555,Citrulline_exp,PF29555,v293.1
5076.2.1.10,PF29520,DUF8558,PF29520,v293.1
5077.1.1.9,PF31213,HliA,PF31213,v293.1
5084.1.1.29,PF27340,TP_0126,PF27340,v293.1
5084.1.1.30,PF29018,SP85_N,PF29018,v293.1
5084.1.1.45,PF26421,Avidin_like,PF26421,v294
5084.3.1.3,PF29188,VacA_C,PF29188,v293.1
5084.5.1.39,PF27051,TamB_N,PF27051,v293.1
5084.5.1.43,PF30985,OEP21,PF30985,v293.1
5084.5.1.45,PF28482,OEP24,PF28482,v293.1
5084.5.1.57,PF28611,OEP37,PF28611,v293.1
5084.5.1.62,PF27458,YgjJ,PF27458,v293.1
5084.5.1.68,PF27733,UCP029691,PF27733,v293.1
5084.5.3.9,PF28611,OEP37,PF28611,v293.1
5086.1.1.199,PF31016,Lunapark_N,PF31016,v293.1
5086.1.1.205,PF30209,GRA6_helical,PF30209,v293.1
5086.1.1.211,PF30554,Bfr1,PF30554,v293.1
5086.1.1.213,PF30356,GPT2_C,PF30356,v293.1
5086.1.1.214,PF30751,CCDC77,PF30751,v293.1
5086.1.1.216,PF26346,Plectin_PPL,PF26346,v293.1
5086.1.1.219,PF30251,YmfE,PF30251,v293.1
5086.1.1.223,PF28155,CmeU,PF28155,v293.1
5087.2.1.2,PF29934,Vitellogenin_N,PF29934,v293.1
5089.1.1.7,PF26164,Bact_GSDM,PF26164,v293.1
5089.1.1.8,PF29651,GVIN1_2nd,PF29651,v293.1
5090.1.1.17,PF29241,DUF8524,PF29241,v294
5090.2.1.2,PF30934,ARB_06334_M,PF30934,v293.1
509.1.1.12,PF25972,At4g15545_C,PF25972,v293.1
509.1.1.17,PF28859,SPCC191_01,PF28859,v293.1
5104.1.1.8,PF27238,rrnAC1427_C,PF27238,v293.1
5106.1.1.12,PF30914,TIM14_N_euk,PF30914,v293.1
511.1.1.2,PF27034,DUF8568,PF27034,v293.1
5.1.1.7,PF27563,APC1_N,PF27563,v293.1
5.1.2.61,PF26549,Tricorn_N,PF26549,v293.1
5.1.3.154,PF30361,TRM82_WD,PF30361,v293.1
5.1.3.172,PF26607,Beta-prop_PLL,PF26607,v293.1
5.1.3.193,PF29569,DCT6_helical,PF29569,v293.1
5.1.3.238,PF29568,DCT6_N,PF29568,v293.1
5.1.3.251,PF28327,FANCB_N,PF28327,v293.1
5.1.3.252,PF27637,MNM1_beta,PF27637,v293.1
5.1.3.278,PF29948,Beta-prop_ApeH-3,PF29948,v294
514.1.1.2,PF25945,DUF7984,PF25945,v294
5.1.4.279,PF26550,Tricorn_2nd,PF26550,v293.1
5.1.4.307,PF29630,ASA1,PF29630,v293.1
5.1.4.321,PF30361,TRM82_WD,PF30361,v293.1
5.1.4.329,PF30693,KPTN,PF30693,v293.1
5.1.4.331,PF30861,NUP82_beta-prop,PF30861,v293.1
5.1.4.332,PF29748,VPS3_N,PF29748,v293.1
5.1.4.333,PF31099,SHKBP1_KCTD3_C,PF31099,v293.1
5.1.4.338,PF28639,DNAI3_WD,PF28639,v293.1
5.1.4.352,PF28370,NUP37_N,PF28370,v293.1
5.1.4.378,PF27702,UCP007778,PF27702,v293.1
