PF06684	AA_synth
PF01490	Aa_trans
PF28841	Aba3
PF14108	ABA4-like
PF07336	ABATE
PF12430	ABA_GPCR
PF02496	ABA_WDS
PF14156	AbbA_antirepres
PF26999	ABC-2_memb_rel
PF00950	ABC-3
PF26919	ABC-like_C
PF03109	ABC1
PF30507	ABC1K3_C
PF30649	ABC1_C
PF30499	ABC1_cyano_C
PF01061	ABC2_membrane
PF12679	ABC2_membrane_2
PF12698	ABC2_membrane_3
PF12730	ABC2_membrane_4
PF13346	ABC2_membrane_5
PF06182	ABC2_membrane_6
PF19055	ABC2_membrane_7
PF25158	ABCA11_C
PF24526	ABCA12_C
PF24358	ABCC10_N
PF21707	ABC_AB
PF09818	ABC_ATPase
PF21709	ABC_C
PF09819	ABC_cobalt
PF16962	ABC_export
PF31118	ABC_FlqE_C
PF00664	ABC_membrane
PF06472	ABC_membrane_2
PF13748	ABC_membrane_3
PF20446	ABC_N
PF04392	ABC_sub_bind
PF20220	ABC_toxin_N
PF00005	ABC_tran
PF09822	ABC_transp_aux
PF03886	ABC_trans_aux
PF06541	ABC_trans_CmpB
PF14510	ABC_trans_N
PF16949	ABC_tran_2
PF16326	ABC_tran_CTD
PF31170	ABC_tran_C_actino
PF31115	ABC_tran_Fe_C
PF12848	ABC_tran_Xtn
PF12407	Abdominal-A
PF31081	AbeC
PF05270	AbfB
PF18225	AbfS_sensor
PF03806	ABG_transport
PF22990	ABHD16_N
PF09752	ABHD18
PF22316	ABhydrolase-like_N
PF00561	Abhydrolase_1
PF20091	Abhydrolase_10
PF20408	Abhydrolase_11
PF02230	Abhydrolase_2
PF07859	Abhydrolase_3
PF08386	Abhydrolase_4
PF12695	Abhydrolase_5
PF12697	Abhydrolase_6
PF12715	Abhydrolase_7
PF06259	Abhydrolase_8
PF10081	Abhydrolase_9
PF15420	Abhydrolase_9_N
PF04083	Abhydro_lipase
PF27594	ABI
PF08843	AbiEii
PF09407	AbiEi_1
PF09952	AbiEi_2
PF11459	AbiEi_3
PF17194	AbiEi_3_N
PF13338	AbiEi_4
PF10899	AbiGi
PF16873	AbiGii_2
PF20578	aBig_2
PF14253	AbiH
PF18860	AbiJ_NTD3
PF18863	AbiJ_NTD4
PF18865	AbiJ_NTD5
PF18864	AbiTii
PF07751	Abi_2
PF14337	Abi_alpha
PF14355	Abi_C
PF07815	Abi_HHR
PF16182	AbLIM_anchor
PF03992	ABM
PF21931	ABM-like
PF31202	ABM1
PF09441	Abp2
PF22224	AbpA-like
PF30423	AbpB_C
PF30422	AbpB_N
PF27030	AbpE_bact
PF28709	AbpF_1st_Ig
PF28708	AbpF_3rd_Ig
PF28710	AbpF_7th_Ig
PF28707	AbpF_C_Ig
PF28763	ABPF_N
PF05145	AbrB
PF14250	AbrB-like
PF18277	AbrB_C
PF27760	ABT1_C
PF26147	AB_HYDROLASE_YMC0-YMC35
PF07280	Ac110_PIF
PF20520	Ac45-VOA1_TM
PF05814	Ac76
PF05820	Ac81
PF08965	Aca2_YdiL
PF08900	AcaB
PF21343	ACAD9-ACADV_C
PF20963	Acanthaporin
PF16177	ACAS_N
PF13000	Acatn
PF23474	Acb1
PF24729	Acb2_Tad1_hairpin
PF25187	Acb3
PF26761	Acb5
PF00887	ACBP
PF24922	ACBP4_C
PF05528	Acc5b_avian_CoV
PF03255	ACCA
PF21385	ACCA_BT
PF08326	ACC_central
PF13822	ACC_epsilon
PF16671	ACD
PF14733	ACDC
PF22217	ACDH-11_C
PF09317	ACDH_C
PF28347	ACE1_beta
PF28329	ACE1_N
PF21556	AceES-2
PF06315	AceK_kinase
PF20423	AceK_regulatory
PF00871	Acetate_kinase
PF09290	AcetDehyd-dimer
PF08882	Acetone_carb_G
PF02550	AcetylCoA_hydro
PF13336	AcetylCoA_hyd_C
PF00583	Acetyltransf_1
PF13673	Acetyltransf_10
PF13720	Acetyltransf_11
PF13880	Acetyltransf_13
PF03421	Acetyltransf_14
PF17013	Acetyltransf_15
PF05301	Acetyltransf_16
PF17668	Acetyltransf_17
PF18014	Acetyltransf_18
PF18015	Acetyltransf_19
PF00797	Acetyltransf_2
PF13302	Acetyltransf_3
PF13420	Acetyltransf_4
PF13444	Acetyltransf_5
PF13480	Acetyltransf_6
PF13508	Acetyltransf_7
PF13523	Acetyltransf_8
PF13527	Acetyltransf_9
PF14542	Acetyltransf_CG
PF28828	ACF4_like
PF30473	AcfD_4th
PF26759	AcfD_helical
PF30472	AcfD_N
PF08674	AChE_tetra
PF15270	ACI44
PF29351	Acidic_SOMP
PF03767	Acid_phosphat_B
PF12689	Acid_PPase
PF28205	AciT
PF29063	ACL4_C
PF28912	AclF_C
PF28338	AclK_C
PF26144	ACL_Hsps-like
PF30266	Acm1_Central
PF05054	AcMNPV_Ac109
PF07138	AcMNPV_AC11
PF06648	AcMNPV_Ac75
PF05815	AcMNPV_Orf101
PF06856	AcMNPV_Orf17
PF07134	AcMNPV_Orf18
PF05081	AcMNPV_P18
PF04412	AcnX
PF28403	AcnX_2nd
PF28406	AcnX_3rd
PF01989	AcnX_swivel_put
PF00330	Aconitase
PF06434	Aconitase_2_N
PF11791	Aconitase_B_N
PF00694	Aconitase_C
PF01756	ACOX
PF31116	AcoX_C
PF22924	ACOX_C_alpha1
PF06857	ACP
PF05777	Acp26Ab
PF06313	ACP53EA
PF01648	ACPS
PF04336	ACP_PD
PF23297	ACP_SdgA_C
PF08545	ACP_syn_III
PF08541	ACP_syn_III_C
PF24914	ACR10_N
PF20829	Acr30-35_AcrF1
PF30848	AcrB_N
PF25704	AcrF2
PF21401	AcrF3
PF25703	AcrF31
PF25699	AcrF8
PF22147	AcrIC5
PF28100	AcrIE3-like
PF26151	AcrIF11_ADP_ribosyl
PF24304	AcrIIA4
PF28149	AcrIIA6
PF26125	AcrVA2-like
PF10766	AcrZ
PF00873	ACR_tran
PF19436	ACS_CODH_B_C
PF01842	ACT
PF09192	Act-Frag_cataly
PF28342	ACT-like
PF05058	ActA
PF11821	ActD
PF00976	ACTH_domain
PF00022	Actin
PF14408	Actino_peptide
PF17003	Actin_micro
PF11657	Activator-TraM
PF11498	Activator_LAG-3
PF01064	Activin_recp
PF16840	ACTL7A_N
PF21646	ACTMAP-like_C
PF26798	ACT_10
PF26946	ACT_11
PF26954	ACT_12
PF26955	ACT_13
PF10000	ACT_3
PF13291	ACT_4
PF13710	ACT_5
PF13740	ACT_6
PF13840	ACT_7
PF19571	ACT_8
PF22468	ACT_9
PF24931	ACT_ACR9_3rd
PF24926	ACT_ACR9_C
PF26956	ACT_ACR_D1
PF22629	ACT_AHAS_ss
PF24021	ACT_phage
PF21086	ACT_PSP_2
PF26539	ACT_YhiD_C
PF28827	AcuH_dehydrog_dom
PF18859	acVLRF1
PF01643	Acyl-ACP_TE
PF20791	Acyl-ACP_TE_C
PF21263	Acyl-CoA-dh_C
PF00441	Acyl-CoA_dh_1
PF08028	Acyl-CoA_dh_2
PF12806	Acyl-CoA_dh_C
PF02770	Acyl-CoA_dh_M
PF02771	Acyl-CoA_dh_N
PF14749	Acyl-CoA_ox_N
PF12590	Acyl-thio_N
PF12186	AcylCoA_dehyd_C
PF00708	Acylphosphatase
PF01553	Acyltransferase
PF19576	Acyltransf_2
PF16076	Acyltransf_C
PF02551	Acyl_CoA_thio
PF28265	Acyl_LnsA
PF00698	Acyl_transf_1
PF02273	Acyl_transf_2
PF01757	Acyl_transf_3
PF18883	AC_1
PF16214	AC_N
PF09793	AD
PF10198	Ada3
PF21299	ADAM10_Cys-rich
PF16698	ADAM17_MPD
PF24484	ADAMTSL1
PF23178	ADAMTS_C
PF17771	ADAMTS_CR_2
PF19236	ADAMTS_CR_3
PF05986	ADAMTS_spacer1
PF08516	ADAM_CR
PF10199	Adaptin_binding
PF01602	Adaptin_N
PF00928	Adap_comp_sub
PF02805	Ada_Zn_binding
PF06314	ADC
PF06327	Adcy_cons_dom
PF27467	AddB_5th
PF21445	ADDB_N
PF18724	ADDT
PF17981	ADD_ATRX
PF17980	ADD_DNMT3
PF13382	Adenine_deam_C
PF03352	Adenine_glyco
PF04008	Adenosine_kin
PF27706	Adenovirus-41_E3
PF02438	Adeno_100
PF03052	Adeno_52K
PF02703	Adeno_E1A
PF01691	Adeno_E1B_19K
PF01696	Adeno_E1B_55K
PF04623	Adeno_E1B_55K_N
PF06040	Adeno_E3
PF05248	Adeno_E3A
PF03376	Adeno_E3B
PF04834	Adeno_E3_14_5
PF03307	Adeno_E3_15_3
PF02440	Adeno_E3_CR1
PF02439	Adeno_E3_CR2
PF05385	Adeno_E4
PF04528	Adeno_E4_34
PF06931	Adeno_E4_ORF3
PF04881	Adeno_GP19K
PF01065	Adeno_hexon
PF03678	Adeno_hexon_C
PF02456	Adeno_IVa2
PF00541	Adeno_knob
PF11081	Adeno_L433K_22K
PF01686	Adeno_Penton_B
PF03955	Adeno_PIX
PF03910	Adeno_PV
PF01310	Adeno_PVIII
PF05829	Adeno_PX
PF00608	Adeno_shaft
PF02459	Adeno_terminal
PF03228	Adeno_VII
PF16579	AdenylateSensor
PF01295	Adenylate_cycl
PF26690	Adenylate_cycl_3rd
PF26691	Adenylate_cycl_4th
PF26693	Adenylate_cycl_C
PF00709	Adenylsucc_synt
PF12633	Adenyl_cycl_N
PF04439	Adenyl_transf
PF19582	AdeT1_2
PF29302	ADF1
PF23813	AdfA
PF27521	ADGRF2P_N
PF25387	ADGRF3_N
PF26152	ADGRG2_N
PF16812	AdHead_fibreRBD
PF09085	Adhes-Ig_like
PF30584	Adhesin-E_2
PF04619	Adhesin_Dr
PF16747	Adhesin_E
PF03257	Adhesin_P1_C
PF18652	Adhesin_P1_N
PF25137	ADH_Fe_C
PF08240	ADH_N
PF16884	ADH_N_2
PF00106	adh_short
PF13561	adh_short_C2
PF00107	ADH_zinc_N
PF13602	ADH_zinc_N_2
PF02274	ADI
PF11559	ADIP
PF15202	Adipogenin
PF06377	Adipokin_hormo
PF00406	ADK
PF05191	ADK_lid
PF19627	ADNP_N
PF05221	AdoHcyase
PF00670	AdoHcyase_NAD
PF08132	AdoMetDC_leader
PF02675	AdoMet_dc
PF07757	AdoMet_MTase
PF01941	AdoMet_Synthase
PF03496	ADPrib_exo_Tox
PF18648	ADPRTs_Tse2
PF04587	ADP_PFK_GK
PF03747	ADP_ribosyl_GH
PF25662	AdSDV_VP1
PF10397	ADSL_C
PF25379	Adt-1
PF29342	ADY4_C
PF29343	ADY4_N
PF20032	ADYC
PF08509	Ad_cyc_g-alpha
PF16701	Ad_Cy_reg
PF06355	Aegerolysin
PF25001	Aegyptin_C
PF24387	AEP-like
PF22548	AEP-TOTE
PF17049	AEP1
PF23162	AEP_C962R
PF01117	Aerolysin
PF05110	AF-4
PF27426	AF0631_C
PF27425	AF0631_N
PF27411	AF0772_C
PF27410	AF0774
PF27424	AF0891
PF14591	AF0941-like
PF22357	AF1548-like_C
PF27423	AF1633
PF29254	AF1636
PF27409	AF2028_3rd
PF27408	AF2028_C
PF27422	AF2210
PF01954	AF2212-like
PF14556	AF2331-like
PF18875	AF4_int
PF05775	AfaD
PF15339	Afaf
PF22394	AfAlkA-like_TBP-like
PF30810	AFAP_C
PF30812	AFAP_N
PF26705	AFDN
PF18876	AFF4_CHD
PF03969	AFG1_ATPase
PF07792	Afi1
PF08493	AflR
PF01314	AFOR_C
PF02730	AFOR_N
PF02420	AFP
PF18815	AFP_2
PF03756	AfsA
PF08731	AFT
PF11786	Aft1_HRA
PF11787	Aft1_HRR
PF11785	Aft1_OSA
PF12249	AftA_C
PF12250	AftA_N
PF26371	AftB_C
PF11001	AFUB_07903_YDR124W_hel
PF27352	AF_0059
PF27313	AF_0136_C
PF27315	AF_0136_N
PF27217	AF_0155
PF27236	AF_0334
PF29259	AF_0408_N
PF27375	AF_0414
PF22176	AF_0587-like_pre-PUA
PF27245	AF_0692
PF27297	AF_0843
PF27341	AF_0896_M
PF22185	AF_0924
PF27382	AF_0970
PF27327	AF_1016
PF27253	AF_1253
PF27384	AF_1283
PF27252	AF_1314_C
PF29717	AF_1314_N
PF27271	AF_1327
PF27350	AF_1447
PF27291	AF_1457
PF27259	AF_1499
PF27293	AF_1575
PF27237	AF_1625_C
PF27235	AF_1680
PF21768	AF_1763-like_C
PF27226	AF_1845
PF29613	AF_1859_C
PF27225	AF_1859_N
PF27311	AF_1994_N
PF27367	AF_2048_N
PF27374	AF_2141
PF29251	AF_2183
PF21682	AF_2299-like_N
PF27306	AF_2379
PF27302	AF_2407
PF04671	Ag332
PF21254	AGA-YXIM_GBD
PF17366	AGA2
PF21994	AGAO-like_N2
PF17992	Agarase_CBM
PF25117	Agd3_C
PF25115	Agd3_CE
PF05641	Agenet
PF07468	Agglutinin
PF18021	Agglutinin_C
PF17558	AGH
PF17998	AgI_II_C2
PF19712	AGK_C
PF26681	Agl23_C
PF22627	AglB_core-like
PF18079	AglB_L1
PF24858	AGMP_C
PF09171	AGOG
PF05039	Agouti
PF10427	Ago_hook
PF22474	Ago_Mid
PF22362	Ago_MID_bact
PF18236	AGO_N
PF18351	Ago_N_1
PF22472	Ago_N_2
PF22476	Ago_N_3
PF22333	Ago_PAZ_arc
PF06376	AGP
PF28140	AGP40
PF18746	aGPT-Pplase3
PF04647	AgrB
PF19188	AGRB_N
PF05931	AgrD
PF04730	Agro_virD5
PF18134	AGS_C
PF11440	AGT
PF29319	AGT1-like
PF06396	AGTRAP
PF09229	Aha1_N
PF25911	AHC1_C
PF25910	AHC1_N
PF17793	AHD
PF14412	AHH
PF18743	AHJR-like
PF17327	AHL_synthase
PF00578	AhpC-TSA
PF13911	AhpC-TSA_2
PF08327	AHSA1
PF09236	AHSP
PF21423	AhtL-like_1st
PF21986	AH_C
PF01594	AI-2E_transport
PF21368	AI2M-like_HNH
PF31232	AI3_C
PF15334	AIB
PF01808	AICARFT_IMPCHas
PF31144	AICE_RepA
PF31158	AICE_RepA_C
PF31134	AICE_Reps-like_N
PF08210	AID
PF16168	AIDA
PF14186	Aida_C2
PF08910	Aida_N
PF18158	AidB_N
PF21008	AIF-1
PF14962	AIF-MLS
PF14721	AIF_C
PF04548	AIG1
PF13772	AIG2_2
PF06316	Ail_Lom
PF28272	AIM11_N
PF10315	Aim19
PF11489	Aim21
PF01987	AIM24
PF17096	AIM3
PF29468	AIM36_C
PF29059	AIM39_C
PF25459	AIM3_BBC1_C
PF29317	AIM44
PF17050	AIM5
PF30387	AIM6
PF21568	AIMA-like_N
PF16780	AIMP2_LysRS_bd
PF22871	AimR
PF03915	AIP3
PF23153	Aip3p_Bud6_N
PF10592	AIPR
PF22879	AIPR_N
PF21759	AIR2-like_ZnK4
PF00731	AIRC
PF00586	AIRS
PF02769	AIRS_C
PF15298	AJAP1_PANP_C
PF26649	Ajm-1
PF27982	AJM1_C
PF29010	AJM1_N
PF30678	AKAP11
PF14469	AKAP28
PF15304	AKAP2_C
PF10469	AKAP7_NLS
PF10470	AKAP7_RIRII_bdg
PF04988	AKAP95
PF27603	AKAP9_C
PF27598	AKAP9_coil_N
PF05716	AKAP_110
PF27911	AKIP1
PF30465	Akirin
PF29587	AKLP2_N
PF12443	AKNA
PF29996	aL49
PF26023	ALA1
PF00490	ALAD
PF01262	AlaDh_PNT_C
PF05222	AlaDh_PNT_N
PF06610	AlaE
PF11839	Alanine_zipper
PF00842	Ala_racemase_C
PF01168	Ala_racemase_N
PF09135	Alb1
PF01918	Alba
PF08027	Albumin_I
PF16720	Albumin_I_a
PF17527	ALC
PF11606	AlcCBM31
PF00171	Aldedh
PF01081	Aldolase
PF00596	Aldolase_II
PF30389	Aldolase_II_2
PF01263	Aldose_epim
PF00248	Aldo_ket_red
PF11266	Ald_deCOase
PF01315	Ald_Xan_dh_C
PF23180	ALE2_N
PF03752	ALF
PF12165	Alfin
PF15924	ALG11_N
PF08660	Alg14
PF22686	Alg17C_C
PF05208	ALG3
PF03155	Alg6_Alg8
PF30637	Alg8_N
PF11182	AlgF
PF13372	Alginate_exp
PF05426	Alginate_lyase
PF08787	Alginate_lyase2
PF27285	AlgP_helical
PF16822	ALGX
PF01889	AliA_AliB
PF13949	ALIX_LYPXL_bnd
PF06029	AlkA_N
PF27981	ALKBH10B_N
PF09004	ALKBH8_N
PF15129	ALKL1_2
PF14864	Alkyl_sulf_C
PF14863	Alkyl_sulf_dimr
PF06224	AlkZ-like
PF24741	AlkZ-rel
PF12810	ALK_LTK_GRD
PF00245	Alk_phosphatase
PF26751	All-alpha_MIP2
PF03561	Allantoicase
PF05953	Allatostatin
PF29176	Allatotropin-like_C
